,blockNumber,kittyId,case:genes,case:concept:name,concept:name,time:timestamp,from,to,start_timestamp_Rounded,genes,isValue,isValueCase2
10541844,8270262,,-3019947904495252141,995907,Is Transferred,2019-08-02 10:45:05+00:00,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-02 10:50:00+00:00,-3019947904495252141,True,False
10541843,8268511,,-3019947904495252141,995907,Is Transferred,2019-08-02 04:26:14+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,2019-08-02 04:30:00+00:00,-3019947904495252141,True,False
10541842,8268077,,-3019947904495252141,995907,Is Transferred,2019-08-02 02:45:14+00:00,0x00c9da65b33b4f7034b5f50b90f5f6d8320d6ab8,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-02 02:50:00+00:00,-3019947904495252141,True,False
10541841,8266387,,-3019947904495252141,995907,Is Transferred,2019-08-01 20:26:11+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x00c9da65b33b4f7034b5f50b90f5f6d8320d6ab8,2019-08-01 20:30:00+00:00,-3019947904495252141,True,False
10541840,8265977,,-3019947904495252141,995907,Is Transferred,2019-08-01 18:45:10+00:00,0xa21e0974137bf8400eb7dca606d9dcb190d79ed9,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-01 18:50:00+00:00,-3019947904495252141,True,False
10541839,8264274,,-3019947904495252141,995907,Is Transferred,2019-08-01 12:26:03+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xa21e0974137bf8400eb7dca606d9dcb190d79ed9,2019-08-01 12:30:00+00:00,-3019947904495252141,True,False
10541838,8263859,,-3019947904495252141,995907,Is Transferred,2019-08-01 10:46:01+00:00,0x7316e9cf94bef40d4981d66a5c41c38b6b32454c,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-01 10:50:00+00:00,-3019947904495252141,True,False
10541837,8262159,,-3019947904495252141,995907,Is Transferred,2019-08-01 04:26:10+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x7316e9cf94bef40d4981d66a5c41c38b6b32454c,2019-08-01 04:30:00+00:00,-3019947904495252141,True,False
10541836,8261726,,-3019947904495252141,995907,Is Transferred,2019-08-01 02:46:19+00:00,0x838c14eb3eabe4cb6a696d286c7b2a466629d0ee,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-01 02:50:00+00:00,-3019947904495252141,True,False
10541835,8259973,,-3019947904495252141,995907,Is Transferred,2019-07-31 20:25:37+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x838c14eb3eabe4cb6a696d286c7b2a466629d0ee,2019-07-31 20:30:00+00:00,-3019947904495252141,True,False
